Species_name,Family,Genus,Species_epithet,Seed_weight,Seed_weight_source,Mating_system,Mating_system_source,Growth_form,Growth_form_herb,Growth_form_source
Abrotanella_emarginata,Asteraceae,Abrotanella,emarginata,0.1024,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Achillea_atrata,Asteraceae,Achillea,atrata,0.2424,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Achillea_clusiana,Asteraceae,Achillea,clusiana,0.326,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Achillea_collina,Asteraceae,Achillea,collina,0.117,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Achillea_millefolium,Asteraceae,Achillea,millefolium,0.231,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Achillea_ptarmica,Asteraceae,Achillea,ptarmica,0.31,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Achyrachaena_mollis,Asteraceae,Achyrachaena,mollis,3.741,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Adenocaulon_bicolor,Asteraceae,Adenocaulon,bicolor,5.539,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Adenocaulon_chilense,Asteraceae,Adenocaulon,chilense,5.1128,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Ageratina_adenophora,Asteraceae,Ageratina,adenophora,0.055,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Ageratina_ligustrina,Asteraceae,Ageratina,ligustrina,0.2896,Seed Information Database,SI,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Ageratum_conyzoides,Asteraceae,Ageratum,conyzoides,0.1288,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Ageratum_houstonianum,Asteraceae,Ageratum,houstonianum,0.1224,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Anthemis_arvensis,Asteraceae,Anthemis,arvensis,0.7232,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Anthemis_cotula,Asteraceae,Anthemis,cotula,0.43,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Arctium_minus,Asteraceae,Arctium,minus,8.9,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Arctotis_fastuosa,Asteraceae,Arctotis,fastuosa,0.754,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Argyranthemum_sundingii,Asteraceae,Argyranthemum,sundingii,0.6,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Arnica_montana,Asteraceae,Arnica,montana,1.1577,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
